Name_of_TF,N_of_Windings,Parameter,Value,Unit,AssociateSG
TR_TARA_N2,3,f,50,Hz,CTTAR
,,VW1,220,kV_RMSLL,
,,VW2,11.5,kV_RMSLL,
,,VW3,6.9,kV_RMSLL,
,,SW1,28,MVA,
,,SW2,28,MVA,
,,SW3,19,MVA,
,,R12,0.0075,pu,
,,R13,0.001,pu,
,,R23,4.8e-04,pu,
,,X12,0.1197654,pu,
,,X13,0.1221388,pu,
,,X23,0.03806786,pu,
,,Tap_ratio,1,,
TR_TARA_N1,2,S,184,MVA,TGTAR
,,f,50,Hz,
,,WV1,225,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00338587,pu,
,,Winding_X,0.1189999,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_TARA_N3,2,S,19,MVA,TGTAR
,,f,50,Hz,
,,WV1,13.8,kV_RMSLL,
,,WV2,6.9,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00657895,pu,
,,Winding_X,0.07972902,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_TARA_N2,3,f,50,Hz,TGTAR
,,VW1,220,kV_RMSLL,
,,VW2,11.5,kV_RMSLL,
,,VW3,6.9,kV_RMSLL,
,,SW1,28,MVA,
,,SW2,28,MVA,
,,SW3,19,MVA,
,,R12,0.0075,pu,
,,R13,0.001,pu,
,,R23,4.8e-04,pu,
,,X12,0.1197654,pu,
,,X13,0.1221388,pu,
,,X23,0.03806786,pu,
,,Tap_ratio,1,,
TR_SISIDRO_N1,2,S,162.412,MVA,San_Isidro_U1_TV
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00258306,pu,
,,Winding_X,0.1248733,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_QUINT_N1,2,S,171,MVA,Quintero_TG1A
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00289282,pu,
,,Winding_X,0.1446411,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_QUINT_N2,2,S,171,MVA,Quintero_TG1B
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00289282,pu,
,,Winding_X,0.1446411,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LGUINDOS_N1,2,S,165,MVA,LosGuindos_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00309023,pu,
,,Winding_X,0.1249618,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LGUINDOS_N2,2,S,165,MVA,LosGuindos_U2
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00309023,pu,
,,Winding_X,0.1249618,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_SMARI_N1,2,S,490,MVA,StaMaria_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1.025,,
,,Winding_R,0.00199982,pu,
,,Winding_X,0.1499867,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TORO_N1,2,S,121,MVA,El_Toro_U1
,,f,50,Hz,
,,WV1,227.125,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00346694,pu,
,,Winding_X,0.1175489,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TORO_N3,2,S,121,MVA,El_Toro_U3
,,f,50,Hz,
,,WV1,227.125,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00346694,pu,
,,Winding_X,0.1175489,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TORO_N2,2,S,121,MVA,El_Toro_U2
,,f,50,Hz,
,,WV1,227.125,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00346694,pu,
,,Winding_X,0.1175489,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TORO_N4,2,S,121,MVA,El_Toro_U4
,,f,50,Hz,
,,WV1,227.125,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00346694,pu,
,,Winding_X,0.1175489,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_SLIDIA_N1,2,S,150,MVA,StaLidia_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00056667,pu,
,,Winding_X,0.1199987,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ANTILH_N1,2,S,66,MVA,Antilhue_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,11.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00196061,pu,
,,Winding_X,0.1289851,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ANTILH_N2,2,S,66,MVA,Antilhue_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,11.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00196061,pu,
,,Winding_X,0.1289851,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_BOCA_II_N1,2,S,480,MVA,Bocamina_II
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00209583,pu,
,,Winding_X,0.1499854,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LAJA,2,S,40,MVA,c_laja
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,11,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00363445,pu,
,,Winding_X,0.129,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_C_Maipo_PA,2,S,10,MVA,C_Maipo_PA
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,11,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00199077,pu,
,,Winding_X,0.1289846,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CANU_N1,2,S,78,MVA,Canutillar_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1.025,,
,,Winding_R,0.00326333,pu,
,,Winding_X,0.1460636,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CANU_N2,2,S,78,MVA,Canutillar_U2
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1.025,,
,,Winding_R,0.00326333,pu,
,,Winding_X,0.1460636,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_Central_Rucatayo,2,S,65,MVA,Central_Rucatayo
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.01081108,pu,
,,Winding_X,0.1081108,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_C_ANTILLANCA,2,S,65,MVA,C_ANTILLANCA
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,0.95,,
,,Winding_R,0.01081108,pu,
,,Winding_X,0.1081108,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_VALD_N1,2,S,90,MVA,Valdivia_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00237467,pu,
,,Winding_X,0.1840847,pu,
,,Winding_impedance_on_winding_1,0.5,,
YgDD_np1,3,f,50,Hz,C_CARILAF,,VW1,110,kV_RMSLL,
,,VW2,23,kV_RMSLL,
,,VW3,13.8,kV_RMSLL,
,,SW1,60,MVA,
,,SW2,60,MVA,
,,SW3,20,MVA,
,,R12,0.001,pu,
,,R13,0.0005,pu,
,,R23,0.0001,pu,
,,X12,0.1,pu,
,,X13,0.0548,pu,
,,X23,0.0137,pu,
,,Tap_ratio,1,,
YD_2,2,S,25,MVA,C_CARILAF
,,f,50,Hz,
,,WV1,23,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,.0001,pu,
,,Winding_X,0.1,pu,
,,Winding_impedance_on_winding_1,.9,,
TR_PANG_N1,2,S,290,MVA,Pangue_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,0.95,,
,,Winding_R,0.00264759,pu,
,,Winding_X,0.1607182,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_PANG_N2,2,S,290,MVA,Pangue_U2
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,0.975,,
,,Winding_R,0.00267276,pu,
,,Winding_X,0.1595876,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ANTU_N1,2,S,175,MVA,Antuco_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1.0575,,
,,Winding_R,0.00326846,pu,
,,Winding_X,0.1564659,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ANTU_N2,2,S,175,MVA,HE_Antuco_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,0.9425,,
,,Winding_R,0.00326846,pu,
,,Winding_X,0.1564659,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_RALC_N1,2,S,420,MVA,Ralco_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00221429,pu,
,,Winding_X,0.1465833,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_RALC_N2,2,S,420,MVA,Ralco_U2
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1.05,,
,,Winding_R,0.00221429,pu,
,,Winding_X,0.1482835,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_PALMUCHO,2,S,33,MVA,c_palmucho
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00363445,pu,
,,Winding_X,0.1001341,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_La_Mina_RColorado,2,S,18,MVA,La_Mina_RColorado
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1.025,,
,,Winding_R,0.001,pu,
,,Winding_X,0.08,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LomaAlta,2,S,42,MVA,C_LomaAlta
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.001,pu,
,,Winding_X,0.1002,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_NIUBLE_N1,2,S,160,MVA,Niuble_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1.0575,,
,,Winding_R,0.00349254,pu,
,,Winding_X,0.12498,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ÑUBLE_N1,2,S,25,MVA,LFS_DIGUA_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,6.6,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.001,pu,
,,Winding_X,0.10328,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_Loma_Alta_LHierros,2,S,40,MVA,Loma_Alta_LHierros
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00363445,pu,
,,Winding_X,0.1001341,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_PEHU_N1,2,S,290,MVA,Pehuenche_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00126494,pu,
,,Winding_X,0.1264937,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_PEHU_N2,2,S,290,MVA,Pehuenche_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,0.95,,
,,Winding_R,0.00126494,pu,
,,Winding_X,0.1264937,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CANDE_N1,2,S,160,MVA,Candelar_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00339375,pu,
,,Winding_X,0.1625646,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CANDE_N2,2,S,160,MVA,Rapel_U2
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0034765,pu,
,,Winding_X,0.1622628,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LHUIGUER_N1,2,S,91,MVA,LaHiguera_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.001,pu,
,,Winding_X,0.1033,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LHiGUER_N2,2,S,91,MVA,LaHiguera_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.001,pu,
,,Winding_X,0.1034,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_EPASO_N1,2,S,25,MVA,ElPaso_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,10.5,kV_RMSLL,
,,Tap_ratio,0.975,,
,,Winding_R,0.001,pu,
,,Winding_X,0.1143,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_EPASO_N2,2,S,25,MVA,ElPaso_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,10.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00784,pu,
,,Winding_X,0.1247539,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_EPASO_N3,2,S,25,MVA,ElPaso_U3
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,10.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00784,pu,
,,Winding_X,0.1247539,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_SANDRES_N1,2,S,25,MVA,SanAndres_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,10.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00784,pu,
,,Winding_X,0.1247539,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_SANDRES_N2,2,S,25,MVA,SanAndres_U2
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,10.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.001,pu,
,,Winding_X,0.1172,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LCONFLUE_N1,2,S,96,MVA,LaConfluencia_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,0.975,,
,,Winding_R,0.002,pu,
,,Winding_X,0.1214,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LCONFLUE_N2,2,S,96,MVA,LaConfluencia_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.001,pu,
,,Winding_X,0.1217,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_SFeE_U1_N1,3,f,50,Hz,SantaFeEnergia_U1
,,VW1,220,kV_RMSLL,
,,VW2,13.2,kV_RMSLL,
,,VW3,11,kV_RMSLL,
,,SW1,115,MVA,
,,SW2,115,MVA,
,,SW3,38,MVA,
,,R12,0.00268972,pu,
,,R13,0.00035492,pu,
,,R23,0.00007189,pu,
,,X12,0.1680785,pu,
,,X13,0.09165931,pu,
,,X23,0.02778991,pu,
,,Tap_ratio,1,,
TR_SFe_N1,3,f,50,Hz,SantaFe_U2
,,VW1,220,kV_RMSLL,
,,VW2,13.2,kV_RMSLL,
,,VW3,6.6,kV_RMSLL,
,,SW1,97,MVA,
,,SW2,97,MVA,
,,SW3,17,MVA,
,,R12,0.00318884,pu,
,,R13,0.00079336,pu,
,,R23,0.00016069,pu,
,,X12,0.2710512,pu,
,,X13,0.06743533,pu,
,,X23,0.01365906,pu,
,,Tap_ratio,1,,
TR_SFe_N1,3,f,50,Hz,SantaFe_U3
,,VW1,220,kV_RMSLL,
,,VW2,13.2,kV_RMSLL,
,,VW3,6.6,kV_RMSLL,
,,SW1,97,MVA,
,,SW2,97,MVA,
,,SW3,17,MVA,
,,R12,0.00318884,pu,
,,R13,0.00079336,pu,
,,R23,0.00016069,pu,
,,X12,0.2710512,pu,
,,X13,0.06743533,pu,
,,X23,0.01365906,pu,
,,Tap_ratio,1,,
TR_PACIFIC_N1,2,S,55,MVA,Pacifico_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0019999,pu,
,,Winding_X,0.19999,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_PACIFIC_N2,2,S,73,MVA,Pacifico_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0019909,pu,
,,Winding_X,0.19909,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_PACIFIC_N1,2,S,55,MVA,Pacifico_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0019999,pu,
,,Winding_X,0.19999,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_PACIFIC_N2,2,S,73,MVA,Pacifico_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0019909,pu,
,,Winding_X,0.19909,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_PACIFIC_N1,2,S,55,MVA,Pacifico_U3
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0019999,pu,
,,Winding_X,0.19999,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_PACIFIC_N2,2,S,73,MVA,Pacifico_U3
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0019909,pu,
,,Winding_X,0.19909,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_ANG_N2,2,S,167.5,MVA,Angostura_U2
,,f,50,Hz,
,,WV1,221.375,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00349254,pu,
,,Winding_X,0.1299531,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ANG_N3,2,S,60,MVA,Angostura_U3
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00431667,pu,
,,Winding_X,0.1099153,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ANG_N1,2,S,167.5,MVA,Angostura_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00349254,pu,
,,Winding_X,0.1299531,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_PETPOWER_N1,2,S,85,MVA,Petropower_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,11,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00056667,pu,
,,Winding_X,0.1199987,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_PETROPOWER_N2,2,S,65,MVA,Petropower_U1
,,f,50,Hz,
,,WV1,154,kV_RMSLL,
,,WV2,66,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00056667,pu,
,,Winding_X,0.1199987,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_MAPA_TG7,2,S,220,MVA,MAPA_TG7
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00296818,pu,
,,Winding_X,0.146868,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_MAPA_TG8,2,S,165,MVA,MAPA_TG8
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00309023,pu,
,,Winding_X,0.1249618,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_PEUCH_N1,2,S,45,MVA,Peuchen_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,0.95,,
,,Winding_R,0.00485556,pu,
,,Winding_X,0.1249057,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_PEUCH_N2,2,S,45,MVA,Peuchen_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00485556,pu,
,,Winding_X,0.1249057,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_MAMP_N2,2,S,30,MVA,Mampil_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00528667,pu,
,,Winding_X,0.1248882,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_RUCUE_N1,2,S,123,MVA,Rucue_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,0.975,,
,,Winding_R,0.0011535,pu,
,,Winding_X,0.1529956,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_RUCUE_N2,2,S,123,MVA,Rucue_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00118732,pu,
,,Winding_X,0.1529954,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_QUILLEC_N1,2,S,41,MVA,Quilleco_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00349829,pu,
,,Winding_X,0.1094541,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_QUILLEC_N2,2,S,41,MVA,Quilleco_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
