Name_WP,LibType,N_wind_turbines,N_WT_inServ,Snom_WP,Unit,Active_ref,Unit,Turbine Power,Unit,Q_ctrlMode,Reactive_ref,Unit,s_nom,p_mw,q_mw,p_pu,q_pu
PE_El_Arrayan,WECC WP,70,70,1.667,MVA,0.28,pu,,,1,0,pu,116.69,32.67320000,0.00000000,0.28000000,0.00000000
PE_Pta_Palmeras,WECC WP,27,27,1.667,MVA,0.28,pu,,,1,-0.15,pu,45.009,12.60252000,-6.75135000,0.28000000,-0.15000000
PE_Talinay_O_P,WECC WP,97,97,1.667,MVA,0.28,pu,,,1,0,pu,161.699,45.27572000,0.00000000,0.28000000,0.00000000
PE_Monte_Redondo,WECC WP,29,29,1.667,MVA,0.28,pu,,,1,-0.016551724,pu,48.343,13.53604000,-0.80015980,0.28000000,-0.01655172
PE_CANELA_II,WECC WP,38,38,1.667,MVA,0.28,pu,,,1,-0.131578947,pu,63.346000000000004,17.73688000,-8.33500017,0.28000000,-0.13157895
PE_LOS_CURUROS,WECC WP,69,69,1.667,MVA,0.28,pu,,,1,0,pu,115.023,32.20644000,0.00000000,0.28000000,0.00000000
PE_PUNTA_SIERRA,WECC WP,51,51,1.667,MVA,0.28,pu,,,1,-0.109803922,pu,85.017,23.80476000,-9.33519987,0.28000000,-0.10980392
PE_Cabo_Leones_I,WECC WP,55,55,2.1,MVA,0.28,pu,,,1,0,pu,115.5,32.34000000,0.00000000,0.28000000,0.00000000
PE_La_Estrella,WECC WP,32,32,1.667,MVA,0.28,pu,,,1,0,pu,53.344,14.93632000,0.00000000,0.28000000,0.00000000
PE_San_Juan_I_II,WECC WP,112,112,1.667,MVA,0.28,pu,,,1,0,pu,186.704,52.27712000,0.00000000,0.28000000,0.00000000
PE_Ca_Man_Lce,WECC WP,75,75,1.667,MVA,0.28,pu,,,1,0,pu,125.025,35.00700000,0.00000000,0.28000000,0.00000000
PE_Sarco220,WECC WP,102,102,1.667,MVA,0.28,pu,,,1,0,pu,170.034,47.60952000,0.00000000,0.28000000,0.00000000
PE_Cerro_Pampa_Tigre,WECC WP,180,180,1.667,MVA,0.28,pu,,,1,0,pu,300.06,84.01680000,0.00000000,0.28000000,0.00000000
PE_Sierra_Gorda,WECC WP,74,74,1.667,MVA,0.28,pu,,,1,0,pu,123.358,34.54024000,0.00000000,0.28000000,0.00000000
PE_Tchamma,WECC WP,100,100,1.667,MVA,0.28,pu,,,1,0,pu,166.70000000000002,46.67600000,0.00000000,0.28000000,0.00000000
PE_Calama34,WECC WP,97,97,1.667,MVA,0.28,pu,,,1,0.0058,pu,161.699,45.27572000,0.93785420,0.28000000,0.00580000
PE_Valle_de_los_Vientos,WECC WP,75,75,1.667,MVA,0.28,pu,,,1,0.0041,pu,125.025,35.00700000,0.51260250,0.28000000,0.00410000
PE_Llanos_del_Viento,WECC WP,103,103,1.667,MVA,0.28,pu,,,1,0,pu,171.701,48.07628000,0.00000000,0.28000000,0.00000000
PE_Ckani_new,WECC WP,75,75,1.667,MVA,0.28,pu,,,1,0,pu,125.025,35.00700000,0.00000000,0.28000000,0.00000000
PE_Taltal_Parinas,WECC WP,180,180,1.667,MVA,0.28,pu,,,1,0,pu,300.06,84.01680000,0.00000000,0.28000000,0.00000000
PE_Cabo_Leones_II,WECC WP,49,49,4.2,MVA,0.28,pu,,,1,-0.04,pu,205.8,57.62400000,-8.23200000,0.28000000,-0.04000000
PE_San_Pedro_II,WECC WP,39,39,1.667,MVA,0.28,pu,,,1,-0.025641026,pu,65.013,18.20364000,-1.66700028,0.28000000,-0.02564103
PE_Aurora,WECC WP,74,74,1.667,MVA,0.28,pu,,,1,-0.101,pu,123.358,34.54024000,-12.45915800,0.28000000,-0.10100000
PE_SanGabriel,WECC WP,110,110,1.667,MVA,0.28,pu,,,1,-0.0027,pu,183.37,51.34360000,-0.49509900,0.28000000,-0.00270000
PE_Los_Olmos,WECC WP,65,65,1.667,MVA,0.28,pu,,,1,-0.1056,pu,108.355,30.33940000,-11.44228800,0.28000000,-0.10560000
PE_Tolpan_Sur,WECC WP,50,50,1.667,MVA,0.28,pu,,,1,-0.0554,pu,83.35000000000001,23.33800000,-4.61759000,0.28000000,-0.05540000
PE_Lomas_de_Duqueco,WECC WP,37,37,1.667,MVA,0.28,pu,,,1,-0.003243243,pu,61.679,17.27012000,-0.20003980,0.28000000,-0.00324324
PE_SUR_1,WECC WP,150,150,1.667,MVA,0.28,pu,,,1,0,pu,250.05,70.01400000,0.00000000,0.28000000,0.00000000
PE_SUR_3,WECC WP,150,150,1.667,MVA,0.28,pu,,,1,0,pu,250.05,70.01400000,0.00000000,0.28000000,0.00000000
PE_SUR_4,WECC WP,150,150,1.667,MVA,0.28,pu,,,1,0,pu,250.05,70.01400000,0.00000000,0.28000000,0.00000000
PE_Renaico_I,WECC WP,56,56,1.667,MVA,0.28,pu,,,1,-0.14,pu,93.352,26.13856000,-13.06928000,0.28000000,-0.14000000
PE_MallecoNorte,WECC WP,83,83,1.667,MVA,0.28,pu,,,1,-0.0554,pu,138.361,38.74108000,-7.66519940,0.28000000,-0.05540000
PE_MallecoSur,WECC WP,81,81,1.667,MVA,0.28,pu,,,1,-0.137283951,pu,135.02700000000001,37.80756000,-18.53703992,0.28000000,-0.13728395
PE_SUR_2,WECC WP,150,150,1.667,MVA,0.28,pu,,,1,0,pu,250.05,70.01400000,0.00000000,0.28000000,0.00000000
PE_Horizonte_Etapa1_OG,WECC Wind park,409,409,1,MVA,0.28,pu,,,1,0,pu,409,114.52000000,0.00000000,0.28000000,0.00000000
PE_Horizonte_Etapa2_OG,WECC Wind park,409,409,1,MVA,0.28,pu,,,1,0,pu,409,114.52000000,0.00000000,0.28000000,0.00000000
PE_Lomas_de_TalTal_OG,WECC Wind park,342,342,1,MVA,0.28,pu,,,1,0,pu,342,95.76000000,0.00000000,0.28000000,0.00000000
PE_Antofagasta_OG,WECC Wind park,364,364,1,MVA,0.28,pu,,,1,0,pu,364,101.92000000,0.00000000,0.28000000,0.00000000
PE_Pampa_Fidelia_OG,WECC Wind park,920,920,1,MVA,0.28,pu,,,1,0,pu,920,257.60000000,0.00000000,0.28000000,0.00000000
PE_Nolana_OG,WECC Wind park,280,280,1,MVA,0.28,pu,,,1,0,pu,280,78.40000000,0.00000000,0.28000000,0.00000000
PE_Paposo_OG,WECC Wind park,250,250,1,MVA,0.28,pu,,,1,0,pu,250,70.00000000,0.00000000,0.28000000,0.00000000
PE_Pampa_Yolana_OG,WECC Wind park,530,530,1,MVA,0.28,pu,,,1,0,pu,530,148.40000000,0.00000000,0.28000000,0.00000000
PE_San_Matias_Etapa1_OG,WECC Wind park,81,81,1,MVA,0.28,pu,,,1,0,pu,81,22.68000000,0.00000000,0.28000000,0.00000000
PE_Caman_Etapa1_OG,WECC Wind park,149,149,1,MVA,0.28,pu,,,1,0,pu,149,41.72000000,0.00000000,0.28000000,0.00000000
